DayCount,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
211,940.42,962.97,940.11,952.65,5623.12,5362739.99,953.69
212,953.22,970,950,963.99,1695.52,1627035.81,959.61
213,963.99,976.31,962.56,969.52,1729.59,1677733.71,970.02
214,969.52,977.52,962,966.95,2287.67,2214622.95,968.07
215,966.45,973.49,962.04,969.77,1525.25,1474833.24,966.94
216,970.43,986.96,970.09,983.67,1411.88,1381354.06,978.38
217,983.79,990,973.12,986.4,1881.12,1849260.5,983.06
218,986.21,995,982.27,991.02,1744.32,1726342.87,989.7
219,990.27,1004.99,986,999,2633.75,2624895.44,996.64
220,999,1011.65,998,1009.17,2010.48,2022187.98,1005.82
221,1009.15,1022,1004.37,1018.38,1946.12,1975529.06,1015.11
222,1018.45,1022.64,987.01,1005.32,3868.74,3891070.4,1005.77
223,1005.44,1017.62,988.88,1015,3901.9,3937397.72,1009.1
224,1015,1016.99,1008,1016.99,1211.27,1225884.13,1012.07
225,1015.06,1020,1006.01,1006.01,890.26,903053.72,1014.37
226,1006.02,1015.23,1004,1009.38,1119.45,1128482.69,1008.07
227,1009.37,1040,1009.37,1038.42,1871.37,1922196.61,1027.16
228,1039.08,1044.23,1024.02,1033.18,1871.21,1930827.57,1031.86
229,1033.72,1034.6,1025,1027.07,628.37,646537.02,1028.91
230,1027.07,1030,1016.5,1022.22,676.27,691665.62,1022.76
231,1022.23,1022.84,1004.7,1010.89,2521.13,2552654.39,1012.5
232,1009.54,1014.98,1005,1011.07,522.4,526689.47,1008.22
233,1010.03,1019.49,1009,1017,626.77,636562.62,1015.63
234,1017.28,1031.94,1005.1,1022.99,1539.66,1574880.98,1022.88
235,1023,1025.63,1017,1019.9,2152.86,2198759.19,1021.32
236,1018.4,1026.65,1017.98,1023.99,761.56,778518.74,1022.26
237,1024,1037.01,1021.3,1035.25,1193.92,1228433.27,1028.9
238,1034.6,1048.88,1032.36,1047.03,1442.14,1504350.42,1043.14
239,1047.49,1056.25,1045.01,1048.24,1853.97,1946366.55,1049.83
240,1049,1055,1045.89,1052.48,882.1,926687.87,1050.55
241,1052.48,1070,1051.05,1066.01,1619.27,1720097.11,1062.27
242,1065.51,1069.6,1025,1040.99,5077.49,5266003.09,1037.13
243,1040.99,1057.95,1030.51,1057.73,1780.37,1864554.96,1047.28
244,1057.82,1062.74,1050,1050.4,1156.13,1222171.67,1057.12
245,1051.73,1074.69,1051.5,1069,2761.36,2946104.27,1066.9
